model,image_name,mosz1,mosz2,mosz3,prompt
Lafite,042-2.png,2.049136747,2.120459663,2.16725266,"""A bicycle on top of a boat"""
Lafite,035-1.png,1.96891318,2.109863048,2.182907844,"""a bloody mary cocktail next to a napkin"""
stable-diffusion,000-2.png,2.035312596,2.288816432,2.716392871,"""a corgi"""
DALLE,012-1.png,2.675773241,2.61869203,3.137392099,"""A red bus is driving on the road"""
Lafite,047-2.png,2.242047749,2.227822502,2.560868148,"""a small kitchen with a white goat in it"""
stable-diffusion,056-2.png,1.930932594,1.742195313,1.863809883,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
stable-diffusion,028-3.png,3.273776742,3.261160143,3.205912823,"""Snow mountain and tree reflection in the lake"""
DALLE,078-2.png,2.664370134,2.649222697,2.792511242,"""a tennis court with three yellow cones on it"""
Lafite,081-2.png,1.928537453,1.870795611,2.065970583,"""two people facing each other"""
Unidiffuser,098-2.png,2.865401813,2.945961588,2.141277499,"""a street without vehicles"""
Unidiffuser,042-2.png,1.706224166,1.752912194,2.137215539,"""A bicycle on top of a boat"""
stable-diffusion,083-4.png,2.202593892,2.349064331,2.598211708,"""view of a clock tower from above"""
DALLE,059-3.png,2.517368175,2.383275719,2.77906707,"""Downtown Shanghai at sunrise. detailed ink wash."""
Lafite,094-1.png,2.091047258,1.949307006,1.687823372,"""a banana without its peel"""
Unidiffuser,047-2.png,2.788638272,2.599626358,2.507397069,"""a small kitchen with a white goat in it"""
Controlnet,095-3.png,2.847663262,3.067845911,2.603132674,"""a plate that has no bananas on it. there is a glass without orange juice next to it."""
Lafite,068-1.png,2.146083426,2.192367278,2.06074912,"""a store front with 'Grassy Meadow' written on it"""
Lafite,054-3.png,2.111523471,2.048524484,2.062586434,"""A photo of a lotus flower made of water. """
Controlnet,019-4.png,3.024559236,2.797658507,2.80252447,"""a boat in the canals of venice"""
Controlnet,081-4.png,2.836109808,2.677815147,2.88248126,"""two people facing each other"""
stable-diffusion,089-1.png,3.104560908,3.188871995,3.052905741,"""an aerial view of the Great Wall"""
Lafite,097-3.png,2.254832868,2.404346974,2.687616286,"""a kitchen without a refrigerator"""
DALLE,070-1.png,2.816682982,2.811074545,2.580791353,"""Four cats surrounding a dog"""
Lafite,018-3.png,2.457095479,2.600955954,2.811786079,"""Sunset over the sea"""
Unidiffuser,076-1.png,2.334040683,2.382891113,2.562251745,"""three small yellow boxes"""
Lafite,027-2.png,1.854928012,2.105474108,2.131720369,"""A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table"""
Unidiffuser,035-2.png,1.789009937,1.78922267,1.748039813,"""a bloody mary cocktail next to a napkin"""
Controlnet,084-2.png,2.928534546,2.596105035,2.778149857,"""a cross-section view of a walnut"""
DALLE,020-4.png,2.480731554,2.291855217,2.065508721,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
Controlnet,024-2.png,2.964261626,2.916875642,2.076171091,"""a tree reflected in the sunroof of a blue car"""
Controlnet,032-2.png,2.898920253,2.968073241,3.017422021,"""a large white yacht in a calm bay on a sunny day"""
Controlnet,044-1.png,2.510438487,2.340305067,2.232617046,"""an orange wearing a cowboy hat"""
Glide,090-2.png,2.180775538,2.296697038,2.217635263,"""A bird gives an apple to a squirrel"""
Lafite,028-2.png,2.338662434,2.561620038,2.66044137,"""Snow mountain and tree reflection in the lake"""
stable-diffusion,039-2.png,2.887237022,2.755119611,2.934890118,"""a teddy bear on a skateboard in times square"""
Controlnet,064-2.png,2.604777052,2.375781096,2.166207829,"""the word 'APPLE' on an apple"""
stable-diffusion,064-4.png,2.185200078,2.0293316,2.268242539,"""the word 'APPLE' on an apple"""
Unidiffuser,037-1.png,2.147800417,2.882626091,2.873927089,"""A bare kitchen has wood cabinets and white appliances"""
Glide,092-2.png,2.157331442,2.628173483,2.089587135,"""a car with no windows"""
stable-diffusion,026-3.png,2.350853276,2.227294619,2.1579003,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Glide,074-2.png,2.514969018,2.587646865,1.715263059,"""ten red apples"""
stable-diffusion,057-1.png,2.917650584,2.687333064,2.539200019,"""an oil painting of a tree and a building"""
DALLE,099-1.png,3.201282129,2.929376085,2.821240632,"""An aerial view of Ha Long Bay without any boats"""
stable-diffusion,057-2.png,2.378877633,2.570021553,2.740257179,"""an oil painting of a tree and a building"""
Lafite,026-4.png,1.965817041,2.190616895,2.048310497,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Glide,022-4.png,1.765098676,2.225863376,2.013886589,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
Glide,019-2.png,1.991442492,2.606726592,2.498150184,"""a boat in the canals of venice"""
Lafite,024-3.png,1.80775956,2.063834737,2.068577781,"""a tree reflected in the sunroof of a blue car"""
DALLE,040-1.png,3.337618144,3.13434738,2.518025966,"""A blue colored dog"""
Unidiffuser,029-3.png,2.226792478,2.271844726,2.165767349,"""An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"""
Lafite,058-1.png,1.945905714,2.213433661,2.46362962,"""a painting of a white country home with a wrap-around porch"""
Unidiffuser,067-4.png,1.795211776,1.865723989,1.891780713,"""a yellow wall with 'Hello, world.' written on it"""
Glide,076-4.png,2.118492015,1.855608679,2.16016788,"""three small yellow boxes"""
Unidiffuser,075-1.png,1.742707541,1.730752157,2.008506513,"""three green peppers"""
Glide,064-2.png,2.265494598,2.138223152,2.302321568,"""the word 'APPLE' on an apple"""
Glide,033-4.png,2.020389842,2.417398773,2.243912782,"""purple lego dollhouse with a pool and a swing"""
Unidiffuser,065-2.png,3.097531672,3.072097099,2.918990944,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
stable-diffusion,082-3.png,3.031138614,2.874186239,3.052138479,"""an overhead view of a pickup truck with boxes in its flatbed"""
Unidiffuser,000-1.png,2.834823253,2.642454505,2.701303754,"""a corgi"""
Controlnet,092-1.png,2.745620027,2.295619427,2.235147412,"""a car with no windows"""
Lafite,052-4.png,2.186492822,2.167886622,2.46869185,"""a cartoon of a train going to the moon"""
Lafite,020-4.png,1.75486911,1.763704806,1.941505649,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
stable-diffusion,026-1.png,2.574602756,2.448094468,2.104434058,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Lafite,018-1.png,2.29051157,2.658466119,2.913388526,"""Sunset over the sea"""
Unidiffuser,027-2.png,1.953980807,2.110349459,2.586220244,"""A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table"""
DALLE,038-3.png,3.149110502,3.121973645,3.20595446,"""a fall landscape with a small cottage next to a lake"""
Unidiffuser,067-3.png,3.005697178,3.060651781,2.986718525,"""a yellow wall with 'Hello, world.' written on it"""
Controlnet,067-4.png,2.534569625,2.760436146,2.506614921,"""a yellow wall with 'Hello, world.' written on it"""
DALLE,085-1.png,3.389783544,3.685957086,3.174592132,"""a close-up of an old-fashioned cocktail"""
DALLE,018-3.png,2.940207485,2.778662359,2.997947331,"""Sunset over the sea"""
Controlnet,011-2.png,3.133984955,2.663921334,3.281507297,"""a woman with long hair"""
stable-diffusion,030-3.png,2.983213927,2.622910053,2.403127878,"""a dolphin in an astronaut suit on saturn"""
Controlnet,085-1.png,3.015335983,3.005555344,2.766362249,"""a close-up of an old-fashioned cocktail"""
Unidiffuser,082-3.png,2.972173322,2.595396756,2.781703479,"""an overhead view of a pickup truck with boxes in its flatbed"""
stable-diffusion,050-1.png,2.966351938,3.058361202,2.408443365,"""A photo of a panda made of water."""
Glide,006-3.png,2.12751774,2.165996511,2.416264506,"""a book cover"""
Unidiffuser,087-4.png,2.902111666,2.757433807,3.108799297,"""an aerial view of a dining room"""
Glide,014-2.png,2.152200379,2.599763655,2.519496358,"""a pumpkin with a candle in it"""
Glide,014-1.png,2.392018278,2.619216972,2.696143038,"""a pumpkin with a candle in it"""
Lafite,084-1.png,2.151828741,2.134626876,2.143942569,"""a cross-section view of a walnut"""
Unidiffuser,069-4.png,2.919436966,2.794059039,2.827586391,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
DALLE,033-4.png,2.727101939,2.520520517,2.545846737,"""purple lego dollhouse with a pool and a swing"""
Unidiffuser,020-2.png,2.704749196,1.990218552,2.42545492,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
Glide,021-4.png,1.730380362,1.77783344,1.798773408,"""a grandmother reading a book to her grandson and granddaughter"""
Glide,053-4.png,1.694440215,1.740989452,1.926952404,"""A spaceship made of cardboard."""
Unidiffuser,028-3.png,1.82849688,1.903405665,2.365689386,"""Snow mountain and tree reflection in the lake"""
Glide,034-4.png,1.713520214,2.117291738,2.033666256,"""a small garden with an apple tree behind it"""
Glide,088-4.png,2.053904048,2.222966075,2.345749785,"""an aerial photo of a sandy island in the ocean"""
Unidiffuser,078-2.png,2.595445557,2.443068135,2.200911023,"""a tennis court with three yellow cones on it"""
Lafite,066-2.png,2.174377822,2.073250258,2.11937606,"""the word 'START'"""
DALLE,061-2.png,3.299575884,3.23113544,2.748247865,"""the word 'HELLO' on a girl's face"""
stable-diffusion,002-4.png,2.872365584,2.791728146,2.738662598,"""a boat"""
Lafite,062-1.png,2.304608143,2.521911508,2.645974338,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
DALLE,000-3.png,3.165148969,3.106668493,3.196913439,"""a corgi"""
stable-diffusion,032-3.png,3.108308789,3.092954901,3.384995675,"""a large white yacht in a calm bay on a sunny day"""
Lafite,039-3.png,2.047756895,2.175119731,2.117278068,"""a teddy bear on a skateboard in times square"""
DALLE,053-1.png,2.672151767,2.728771426,2.301477665,"""A spaceship made of cardboard."""
Glide,036-3.png,1.972589839,2.098902898,2.122850803,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Glide,084-2.png,1.990815432,2.030463014,2.129984245,"""a cross-section view of a walnut"""
DALLE,027-2.png,2.615421272,2.531828359,2.566512797,"""A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table"""
Lafite,001-4.png,2.012691119,1.88370954,2.685324486,"""a girl"""
Unidiffuser,014-2.png,2.04581124,2.23531215,2.291000858,"""a pumpkin with a candle in it"""
Lafite,051-4.png,2.412121838,2.150490476,2.454446768,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Glide,003-2.png,1.969200413,2.453157142,2.903504643,"""a bench"""
Glide,046-3.png,1.979197194,2.194513999,2.088726338,"""a drawing of a series of musical notes wrapped around the Earth"""
Unidiffuser,040-2.png,1.691996664,1.729286608,1.870664018,"""A blue colored dog"""
Lafite,020-3.png,1.962664425,1.942644683,1.842732313,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
Lafite,079-4.png,1.955871124,2.041097397,2.126714323,"""Times Square with thousands of dogs running around"""
Lafite,054-4.png,2.04931362,2.075799136,2.24091208,"""A photo of a lotus flower made of water. """
Glide,020-4.png,1.871199879,1.689841176,1.980988766,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
stable-diffusion,074-3.png,2.902360913,2.839661254,2.727495021,"""ten red apples"""
Controlnet,004-4.png,3.205791587,3.240996565,3.291068266,"""a flower"""
stable-diffusion,065-2.png,2.245796065,2.155568049,2.376814593,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
Lafite,051-2.png,2.387789184,2.345434792,2.473854598,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Lafite,075-2.png,1.920514475,1.757662782,1.89786271,"""three green peppers"""
Glide,073-4.png,2.516142608,2.699531565,2.776940339,"""two red balls on a table"""
Controlnet,033-3.png,2.298953706,2.435709953,2.229428118,"""purple lego dollhouse with a pool and a swing"""
Glide,006-4.png,2.154988516,2.285109933,2.629528071,"""a book cover"""
stable-diffusion,081-4.png,2.757591895,2.619617132,2.485596301,"""two people facing each other"""
Controlnet,071-3.png,2.320712056,2.05116424,2.419583348,"""three children on a couch"""
stable-diffusion,024-1.png,2.875481312,2.31850556,2.421528293,"""a tree reflected in the sunroof of a blue car"""
Glide,038-2.png,2.141369403,2.384999064,2.441686595,"""a fall landscape with a small cottage next to a lake"""
DALLE,036-3.png,2.962753555,3.003592925,2.92608984,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Glide,062-4.png,2.113570414,2.533772091,2.490360655,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
DALLE,020-3.png,2.390395953,1.987104456,2.107639546,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
Lafite,026-1.png,1.845213177,1.839232635,1.859010644,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Controlnet,008-4.png,2.667208057,2.705796299,3.114145317,"""a fall landscape"""
Glide,070-4.png,1.974974805,2.134315233,2.23014286,"""Four cats surrounding a dog"""
stable-diffusion,013-4.png,1.723972778,1.992296641,2.099374048,"""a teddy bear on a skateboard"""
DALLE,004-4.png,2.579286068,2.782986572,2.840255031,"""a flower"""
Controlnet,062-3.png,2.466655151,2.483811008,2.632346605,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Lafite,033-1.png,1.790197364,2.148820342,2.229820281,"""purple lego dollhouse with a pool and a swing"""
DALLE,050-1.png,2.313470436,2.174452631,2.743091558,"""A photo of a panda made of water."""
stable-diffusion,068-2.png,2.979536224,2.965882335,2.687748734,"""a store front with 'Grassy Meadow' written on it"""
DALLE,075-2.png,3.160435326,3.126471287,3.334746125,"""three green peppers"""
Controlnet,028-4.png,3.159246158,3.312016071,3.209858382,"""Snow mountain and tree reflection in the lake"""
Unidiffuser,076-3.png,2.757358561,2.68473134,2.899264697,"""three small yellow boxes"""
stable-diffusion,060-4.png,2.615393723,2.342991119,2.313902332,"""a cartoon of a dog saying ""I see what you did there"""""
Controlnet,085-4.png,3.150021489,3.11124273,3.359128915,"""a close-up of an old-fashioned cocktail"""
DALLE,035-2.png,3.255092898,3.232728357,3.044973102,"""a bloody mary cocktail next to a napkin"""
Controlnet,079-1.png,2.614181258,2.53479298,2.48010757,"""Times Square with thousands of dogs running around"""
DALLE,078-3.png,2.782533762,2.515389705,2.794767613,"""a tennis court with three yellow cones on it"""
Glide,083-3.png,1.879745263,2.508270514,2.522090181,"""view of a clock tower from above"""
stable-diffusion,091-1.png,2.93731601,3.110165153,3.14138466,"""a classroom without any students"""
stable-diffusion,011-1.png,2.589576353,2.390079734,3.126718111,"""a woman with long hair"""
Glide,059-3.png,1.892075204,1.920424503,2.008299257,"""Downtown Shanghai at sunrise. detailed ink wash."""
Unidiffuser,085-2.png,2.890691503,2.761342707,2.827515367,"""a close-up of an old-fashioned cocktail"""
Controlnet,038-2.png,3.173655639,3.145604362,3.259474303,"""a fall landscape with a small cottage next to a lake"""
Lafite,098-3.png,2.057789106,2.083701391,2.351484298,"""a street without vehicles"""
Controlnet,024-4.png,2.702030405,2.548764144,2.30757707,"""a tree reflected in the sunroof of a blue car"""
stable-diffusion,019-1.png,2.575719029,2.566706091,2.755935311,"""a boat in the canals of venice"""
Unidiffuser,033-3.png,2.739219624,2.772286711,2.884513921,"""purple lego dollhouse with a pool and a swing"""
Lafite,043-4.png,2.243961747,2.217149827,2.087742117,"""a sword slicing through a loaf of bread"""
stable-diffusion,042-1.png,2.895396373,2.583672827,2.243188509,"""A bicycle on top of a boat"""
Controlnet,011-3.png,2.713692724,2.519099435,2.824113511,"""a woman with long hair"""
Lafite,071-3.png,2.036707871,1.84606932,2.459857697,"""three children on a couch"""
stable-diffusion,031-3.png,2.889485085,2.730764773,2.875227423,"""a library filled with kids reading books"""
Controlnet,025-2.png,3.178329885,2.690909362,2.417144209,"""a pineapple with one beer to its left and two beers on its right"""
Glide,014-3.png,2.275565607,2.470122836,2.698546093,"""a pumpkin with a candle in it"""
Controlnet,051-3.png,2.547300115,2.298493246,2.22962792,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Lafite,030-3.png,2.073368353,2.105782077,2.123229207,"""a dolphin in an astronaut suit on saturn"""
Controlnet,066-4.png,2.476084001,2.283029525,2.017495995,"""the word 'START'"""
Unidiffuser,046-1.png,2.636506036,2.441085195,2.264000756,"""a drawing of a series of musical notes wrapped around the Earth"""
Lafite,081-3.png,2.179694039,1.711943641,2.170408778,"""two people facing each other"""
Controlnet,034-2.png,2.469159338,2.401097263,2.516552805,"""a small garden with an apple tree behind it"""
Glide,041-3.png,1.773589041,2.113598916,2.147187889,"""A photo of an astronaut riding a horse in the forest."""
stable-diffusion,043-4.png,2.336574551,2.209864827,1.860559235,"""a sword slicing through a loaf of bread"""
Lafite,053-4.png,1.866328756,2.198115478,2.022530531,"""A spaceship made of cardboard."""
Glide,091-1.png,2.121671933,2.510499826,2.515565377,"""a classroom without any students"""
Controlnet,050-3.png,2.88699046,2.695205097,2.32485818,"""A photo of a panda made of water."""
stable-diffusion,066-4.png,2.819269003,2.576492096,2.760134006,"""the word 'START'"""
Lafite,041-4.png,1.944687613,2.11594805,2.224339604,"""A photo of an astronaut riding a horse in the forest."""
DALLE,054-4.png,3.168209384,3.01231208,2.630087849,"""A photo of a lotus flower made of water. """
Unidiffuser,080-3.png,2.682444204,2.676893906,2.700761035,"""view of a giraffe and a zebra in the middle of a field"""
stable-diffusion,075-4.png,2.907582178,2.965189915,2.548053133,"""three green peppers"""
