Image_prompt,Text_prompt,Generated_image,MOS_q,MOS_a,MOS_c,MOS
,"corgi, standing on a train track, happy",SD_1000_00.jpg,2.6233,2.4229,3.1514,8.1976
,"corgi, standing on a train track, happy",SD_1000_01.jpg,1.2827,1.3478,2.9887,5.6192
,"corgi, standing on a train track, happy",SD_1000_10.jpg,2.38,2.145,3.5167,8.0417
,"corgi, standing on a train track, happy",SD_1000_11.jpg,1.3427,1.2675,2.3229,4.9331
,"white dog, running on a dirt path, blue collar",SD_1001_00.jpg,3.044,2.765,3.2283,9.0373
,"white dog, running on a dirt path, blue collar",SD_1001_01.jpg,2.572,2.312,3.31,8.194
,"white dog, running on a dirt path, blue collar",SD_1001_10.jpg,1.715,1.0112,2.9229,5.6491
,"white dog, running on a dirt path, blue collar",SD_1001_11.jpg,2.238,2.1567,3.0863,7.481
,"white samoyed dog, sitting in the grass with leaves on the ground",SD_1002_00.jpg,2.5467,2.26,3.2412,8.0479
,"white samoyed dog, sitting in the grass with leaves on the ground",SD_1002_01.jpg,3.085,2.87,3.7325,9.6875
,"white samoyed dog, sitting in the grass with leaves on the ground",SD_1002_10.jpg,2.3767,2.365,3.1888,7.9305
,"white samoyed dog, sitting in the grass with leaves on the ground",SD_1002_11.jpg,3.0617,3.0357,3.6833,9.7807
,"bird, orange feathers, sitting on a fence post",SD_1003_00.jpg,3.2683,3,3.298,9.5663
,"bird, orange feathers, sitting on a fence post",SD_1003_01.jpg,2.01,1.7067,2.3683,6.085
,"bird, orange feathers, sitting on a fence post",SD_1003_10.jpg,2.18,1.896,3.088,7.164
,"bird, orange feathers, sitting on a fence post",SD_1003_11.jpg,2.396,1.954,2.8314,7.1814
,bird with its wings spread out in the water,SD_1004_00.jpg,3.1686,2.814,3.7733,9.7559
,bird with its wings spread out in the water,SD_1004_01.jpg,2.875,2.366,3.33,8.571
,bird with its wings spread out in the water,SD_1004_10.jpg,2.1383,1.8467,2.83,6.815
,bird with its wings spread out in the water,SD_1004_11.jpg,2.8433,2.5025,3.31,8.6558
,"bald eagle, flying over a forest with a city in the background",SD_1005_00.jpg,2.565,2.643,3.4217,8.6297
,"bald eagle, flying over a forest with a city in the background",SD_1005_01.jpg,2.61,2.09,3.1929,7.8929
,"bald eagle, flying over a forest with a city in the background",SD_1005_10.jpg,2.8325,2.458,3.1117,8.4022
,"bald eagle, flying over a forest with a city in the background",SD_1005_11.jpg,1.74,1.5163,3.1425,6.3988
,"snail, sitting on a green stem",SD_1006_00.jpg,1.6233,0.962,1.7757,4.361
,"snail, sitting on a green stem",SD_1006_01.jpg,1.975,1.5412,2.565,6.0812
,"snail, sitting on a green stem",SD_1006_10.jpg,2.445,1.765,3.118,7.328
,"snail, sitting on a green stem",SD_1006_11.jpg,1.85,1.1838,2.415,5.4488
,"frog, sitting on a leaf, green background",SD_1007_00.jpg,1.985,1.367,2.745,6.097
,"frog, sitting on a leaf, green background",SD_1007_01.jpg,2.1114,1.7329,2.7575,6.6018
,"frog, sitting on a leaf, green background",SD_1007_10.jpg,2.22,1.355,2.35,5.925
,"frog, sitting on a leaf, green background",SD_1007_11.jpg,2.305,2.182,2.794,7.281
,"frog, sitting on a rock in the water",SD_1008_00.jpg,2.2457,1.4286,3.19,6.8643
,"frog, sitting on a rock in the water",SD_1008_01.jpg,2.2571,2.0725,3.3757,7.7053
,"frog, sitting on a rock in the water",SD_1008_10.jpg,2.23,2.264,3.016,7.51
,"frog, sitting on a rock in the water",SD_1008_11.jpg,2.618,2.0012,3.59,8.2092
,"turtle, swimming in the ocean",SD_1009_00.jpg,1.9429,1.5871,3.2175,6.7475
,"turtle, swimming in the ocean",SD_1009_01.jpg,2.83,2.1325,3.34,8.3025
,"turtle, swimming in the ocean",SD_1009_10.jpg,3.0375,2.9425,3.704,9.684
,"turtle, swimming in the ocean",SD_1009_11.jpg,2.9129,2.308,3.5267,8.7476
,"turtle, sitting on top of a rock",SD_1010_00.jpg,1.3367,0.7057,1.7125,3.7549
,"turtle, sitting on top of a rock",SD_1010_01.jpg,1.87,1.866,2.8675,6.6035
,"turtle, sitting on top of a rock",SD_1010_10.jpg,2.61,2.2083,3.4162,8.2345
,"turtle, sitting on top of a rock",SD_1010_11.jpg,2.72,1.9133,3.444,8.0773
,"lizard, sitting on a branch of a plant",SD_1011_00.jpg,2.0833,1.924,3.345,7.3523
,"lizard, sitting on a branch of a plant",SD_1011_01.jpg,2.485,2.306,3.2725,8.0635
,"lizard, sitting on a branch of a plant",SD_1011_10.jpg,3.132,2.974,3.2671,9.3731
,"lizard, sitting on a branch of a plant",SD_1011_11.jpg,2.4914,2.2386,3.204,7.934
,"duck, swimming in the water",SD_1012_00.jpg,2.632,1.785,3.147,7.564
,"duck, swimming in the water",SD_1012_01.jpg,2.1,1.655,3.1733,6.9283
,"duck, swimming in the water",SD_1012_10.jpg,2.832,2.1933,3.5775,8.6028
,"duck, swimming in the water",SD_1012_11.jpg,2.555,2.57,3.6233,8.7483
,"hedgehog, sitting on a ledge",SD_1013_00.jpg,3.5433,3.322,3.5967,10.462
,"hedgehog, sitting on a ledge",SD_1013_01.jpg,3.324,3.22,3.3825,9.9265
,"hedgehog, sitting on a ledge",SD_1013_10.jpg,1.764,1.415,2.0867,5.2657
,"hedgehog, sitting on a ledge",SD_1013_11.jpg,2.6967,2.55,3.54,8.7867
,swan with wings spread out in the water,SD_1014_00.jpg,2.93,2.73,2.86,8.52
,swan with wings spread out in the water,SD_1014_01.jpg,2.125,1.6311,2.6133,6.3694
,swan with wings spread out in the water,SD_1014_10.jpg,2.6967,2.2817,3.677,8.6554
,swan with wings spread out in the water,SD_1014_11.jpg,2.8143,3.0575,3.086,8.9578
,a close up of a millipede on a wooden surface,SD_1015_00.jpg,1.47,1.47,1.815,4.755
,a close up of a millipede on a wooden surface,SD_1015_01.jpg,1.6833,1.3167,2.1475,5.1475
,a close up of a millipede on a wooden surface,SD_1015_10.jpg,1.782,1.5614,2.28,5.6234
,a close up of a millipede on a wooden surface,SD_1015_11.jpg,1.8925,1.7212,2.3517,5.9654
,"snake, sitting in the grass",SD_1016_00.jpg,2.6817,2.472,3.0667,8.2204
,"snake, sitting in the grass",SD_1016_01.jpg,1.8688,1.586,2.7112,6.166
,"snake, sitting in the grass",SD_1016_10.jpg,1.5614,1.3367,2.8917,5.7898
,"snake, sitting in the grass",SD_1016_11.jpg,1.61,1.414,2.4814,5.5054
,a spider in a web with a flower in the background,SD_1017_00.jpg,1.4567,1.1456,2.4471,5.0494
,a spider in a web with a flower in the background,SD_1017_01.jpg,2.3329,2.0833,2.96,7.3762
,a spider in a web with a flower in the background,SD_1017_10.jpg,1.7517,1.326,2.4625,5.5402
,a spider in a web with a flower in the background,SD_1017_11.jpg,1.5886,1.0012,2.795,5.3848
,jellyfishs floating in the water with a black background,SD_1018_00.jpg,1.8586,1.556,1.2371,4.6517
,jellyfishs floating in the water with a black background,SD_1018_01.jpg,2.0533,1.6486,1.6,5.3019
,jellyfishs floating in the water with a black background,SD_1018_10.jpg,1.818,1.5433,1.696,5.0573
,jellyfishs floating in the water with a black background,SD_1018_11.jpg,1.7233,1.14,1.2367,4.1
,there are many shells that are on a white surface,SD_1019_00.jpg,2.6933,2.328,2.7788,7.8001
,there are many shells that are on a white surface,SD_1019_01.jpg,2.4383,2.4633,3.4,8.3016
,there are many shells that are on a white surface,SD_1019_10.jpg,2.8438,2.8667,3.144,8.8545
,there are many shells that are on a white surface,SD_1019_11.jpg,2.72,3.0338,3.1583,8.9121
,a crab on a sandy beach with a pink shell,SD_1020_00.jpg,3.015,2.7933,3.428,9.2363
,a crab on a sandy beach with a pink shell,SD_1020_01.jpg,1.9429,1.88,2.9456,6.7685
,a crab on a sandy beach with a pink shell,SD_1020_10.jpg,2.704,2.7625,3.0038,8.4703
,a crab on a sandy beach with a pink shell,SD_1020_11.jpg,1.9743,1.885,3.1483,7.0076
,there is a crayfish that is sitting on a rock in the water,SD_1021_00.jpg,2.3288,1.9217,3.258,7.5085
,there is a crayfish that is sitting on a rock in the water,SD_1021_01.jpg,1.745,1.375,2.633,5.753
,there is a crayfish that is sitting on a rock in the water,SD_1021_10.jpg,1.786,1.4467,2.28,5.5127
,there is a crayfish that is sitting on a rock in the water,SD_1021_11.jpg,1.6267,1.2675,3.1733,6.0675
,there is a wolf standing in the grass with a wolf behind him,SD_1022_00.jpg,2.5613,2.2033,2.632,7.3966
